Parameters:
K = 928
cycle = 18
D1 = 526102
D2 = 633155
alpha_rep1 = 0.01853472
alpha_rep2 = 0.01361968
log_likelihood_rep1 = 379.655303
log_likelihood_rep2 = 1017.662700
convergence_rep1 = 0
convergence_rep2 = 0

Species	N_rep1	r_rep1	N_rep2	r_rep2
246	11974.864188	0.00014411	12635.136734	0.00015204
247	950.386046	0.00001144	4738.176274	0.00005701
248	2280.926511	0.00002745	2211.148928	0.00002661
249	9503.860466	0.00011437	8686.656504	0.00010453
250	12355.018607	0.00014868	13740.711198	0.00016534
251	35544.438149	0.00042774	33009.294721	0.00039720
252	2471.003720	0.00002974	473.817625	0.00000570
253	24710.037216	0.00029736	24480.577424	0.00029458
254	21288.647447	0.00025619	23375.002960	0.00028127
255	12545.095816	0.00015097	12635.136734	0.00015204
256	760.308835	0.00000915	947.635254	0.00001140
257	3991.621396	0.00004804	5527.872320	0.00006652
258	4181.698604	0.00005032	631.756834	0.00000760
259	24139.805588	0.00029050	18952.705102	0.00022806
260	1520.617673	0.00001830	789.696044	0.00000950
261	16156.562794	0.00019443	15478.042500	0.00018625
262	760.308838	0.00000915	315.878418	0.00000380
263	3991.621395	0.00004804	4580.237065	0.00005511
264	16156.562794	0.00019443	20847.975612	0.00025086
265	1900.772093	0.00002287	2053.209717	0.00002471
266	3801.544186	0.00004575	1737.331300	0.00002091
267	1710.694884	0.00002059	473.817625	0.00000570
268	5702.316280	0.00006862	8054.899667	0.00009693
269	10264.169304	0.00012352	5843.750738	0.00007032
270	5512.239070	0.00006633	4738.176274	0.00005701
271	1900.772092	0.00002287	1737.331299	0.00002091
272	760.308835	0.00000915	2684.966554	0.00003231
273	570.231626	0.00000686	3948.480228	0.00004751
274	3611.466976	0.00004346	3000.844973	0.00003611
275	5892.393489	0.00007091	8528.717295	0.00010263
276	7032.856745	0.00008463	4264.358646	0.00005131
277	1710.694883	0.00002059	947.635254	0.00001140
278	11404.632561	0.00013724	8054.899667	0.00009693
279	5892.393489	0.00007091	1263.513671	0.00001520
280	12164.941398	0.00014639	8212.838876	0.00009883
281	8743.551629	0.00010522	10739.866223	0.00012923
282	760.308835	0.00000915	3000.844973	0.00003611
283	4181.698605	0.00005032	4422.297856	0.00005321
284	2090.849302	0.00002516	3948.480229	0.00004751
